#==============================================================================
#
#	地形保存テキスト [save.txt]
#	Author：you
#
#==============================================================================
<>*************<> ここから下をコピーし [field.txt] に張り付け <>*************<>

TERRAINSET

	FIELDSET
		# 分割数
		PART = 80 80

		# 頂点座標のずれ量
		GAPSET
		0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 
		0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 4.252 0.000 , 0.000 2.881 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 
		0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 17.223 0.000 , 0.000 24.307 0.000 , 0.000 29.348 0.000 , 0.000 22.843 0.000 , 0.000 21.962 0.000 , 0.000 14.014 0.000 , 0.000 5.729 0.000 , 0.000 -0.000 0.000 , 0.000 2.690 0.000 , 0.000 6.837 0.000 , 0.000 14.415 0.000 , 0.000 17.051 0.000 , 0.000 14.211 0.000 , 0.000 19.164 0.000 , 0.000 21.880 0.000 , 0.000 26.855 0.000 , 0.000 22.560 0.000 , 0.000 16.682 0.000 , 0.000 5.870 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 4.368 0.000 , 0.000 9.832 0.000 , 0.000 10.093 0.000 , 0.000 6.344 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 
		0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 6.920 0.000 , 0.000 21.071 0.000 , 0.000 37.153 0.000 , 0.000 49.599 0.000 , 0.000 57.976 0.000 , 0.000 62.340 0.000 , 0.000 61.313 0.000 , 0.000 55.996 0.000 , 0.000 78.410 0.000 , 0.000 77.238 0.000 , 0.000 63.444 0.000 , 0.000 45.633 0.000 , 0.000 46.620 0.000 , 0.000 49.327 0.000 , 0.000 48.977 0.000 , 0.000 52.828 0.000 , 0.000 55.809 0.000 , 0.000 49.246 0.000 , 0.000 46.843 0.000 , 0.000 38.955 0.000 , 0.000 39.996 0.000 , 0.000 29.210 0.000 , 0.000 24.920 0.000 , 0.000 25.185 0.000 , 0.000 18.413 0.000 , 0.000 12.199 0.000 , 0.000 0.408 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 11.480 0.000 , 0.000 19.546 0.000 , 0.000 24.538 0.000 , 0.000 24.780 0.000 , 0.000 19.419 0.000 , 0.000 10.346 0.000 , 0.000 0.241 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 2.972 0.000 , 0.000 4.735 0.000 , 0.000 4.709 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 6.799 0.000 , 0.000 16.575 0.000 , 0.000 19.863 0.000 , 0.000 19.106 0.000 , 0.000 11.672 0.000 , 0.000 15.377 0.000 , 0.000 11.351 0.000 , 0.000 9.987 0.000 , 0.000 5.885 0.000 , 0.000 6.004 0.000 , 0.000 22.214 0.000 , 0.000 28.011 0.000 , 0.000 15.081 0.000 , 0.000 18.141 0.000 , 0.000 19.751 0.000 , 0.000 27.581 0.000 , 0.000 24.121 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 
		0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 14.774 0.000 , 0.000 43.048 0.000 , 0.000 70.427 0.000 , 0.000 93.031 0.000 , 0.000 107.418 0.000 , 0.000 114.597 0.000 , 0.000 116.097 0.000 , 0.000 122.721 0.000 , 0.000 133.347 0.000 , 0.000 131.828 0.000 , 0.000 119.859 0.000 , 0.000 101.506 0.000 , 0.000 76.494 0.000 , 0.000 78.287 0.000 , 0.000 82.348 0.000 , 0.000 84.002 0.000 , 0.000 88.799 0.000 , 0.000 86.044 0.000 , 0.000 77.683 0.000 , 0.000 73.195 0.000 , 0.000 65.868 0.000 , 0.000 60.057 0.000 , 0.000 49.826 0.000 , 0.000 50.857 0.000 , 0.000 47.739 0.000 , 0.000 44.099 0.000 , 0.000 38.566 0.000 , 0.000 39.081 0.000 , 0.000 36.015 0.000 , 0.000 40.130 0.000 , 0.000 52.393 0.000 , 0.000 59.444 0.000 , 0.000 57.700 0.000 , 0.000 53.260 0.000 , 0.000 42.563 0.000 , 0.000 27.945 0.000 , 0.000 10.334 0.000 , 0.000 19.456 0.000 , 0.000 20.964 0.000 , 0.000 24.135 0.000 , 0.000 23.025 0.000 , 0.000 12.887 0.000 , 0.000 9.086 0.000 , 0.000 20.312 0.000 , 0.000 22.444 0.000 , 0.000 26.862 0.000 , 0.000 26.432 0.000 , 0.000 23.507 0.000 , 0.000 26.942 0.000 , 0.000 38.052 0.000 , 0.000 41.732 0.000 , 0.000 43.413 0.000 , 0.000 46.856 0.000 , 0.000 60.070 0.000 , 0.000 65.350 0.000 , 0.000 74.387 0.000 , 0.000 71.075 0.000 , 0.000 58.183 0.000 , 0.000 40.864 0.000 , 0.000 40.245 0.000 , 0.000 40.493 0.000 , 0.000 39.091 0.000 , 0.000 41.995 0.000 , 0.000 38.044 0.000 , 0.000 45.576 0.000 , 0.000 51.092 0.000 , 0.000 53.062 0.000 , 0.000 64.363 0.000 , 0.000 64.771 0.000 , 0.000 75.512 0.000 , 0.000 74.356 0.000 , 0.000 69.368 0.000 , 0.000 56.175 0.000 , 0.000 36.331 0.000 , 0.000 18.980 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 0.000 -0.000 0.000 , 
